"filename", "language", "XML", "C", "C++", "Makefile", "Markdown", "CMake", "Log", "CMakeCache", "JSON", "HTML", "comment", "blank", "total"
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\CMakeFiles\3.23.2\CompilerIdC\CMakeCCompilerId.c", "C", 0, 633, 0, 0, 0, 0, 0, 0, 0, 0, 61, 135, 829
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 64, 264
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\Testing\Temporary\LastTest.log", "Log", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 6, 8, 50
"e:\ProgramozasAlapjai\ProgramozasAlapjai\cmake-build-debug\ora.svg", "XML", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"e:\ProgramozasAlapjai\ProgramozasAlapjai\konzi\konzi.c", "C", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 32
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\dataset.c", "C", 0, 145, 0, 0, 0, 0, 0, 0, 0, 0, 6, 63, 214
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\dataset.h", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 33
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\main.c", "C", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37, 272
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\makefile", "Makefile", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 7, 16
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\manager.c", "C", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68, 279
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\manager.h", "C", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\model.c", "C", 0, 499, 0, 0, 0, 0, 0, 0, 0, 0, 111, 250, 860
"e:\ProgramozasAlapjai\ProgramozasAlapjai\nagyhf\model.h", "C", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19, 75
"e:\ProgramozasAlapjai\ProgramozasAlapjai\rsa\Makefile", "Makefile", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\ProgramozasAlapjai\ProgramozasAlapjai\rsa\rsa.c", "C", 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91, 303
"e:\ProgramozasAlapjai\ProgramozasAlapjai\rsa\rsa.cpp", "C++", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 11, 46, 191
"e:\ProgramozasAlapjai\ProgramozasAlapjai\szorgalmi_ora\background.svg", "XML", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 91
"e:\ProgramozasAlapjai\ProgramozasAlapjai\szorgalmi_ora\main.c", "C", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68, 287
"e:\ProgramozasAlapjai\ProgramozasAlapjai\szorgalmi_ora\ora.svg", "XML", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 55
"Total", "-", 216, 3273, 134, 12, 15, 111, 203, 343, 1614, 220, 325, 1542, 8008
